symbol,name
ADANIENT,Adani Enterprises Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
ASIANPAINT,Asian Paints Ltd.
AXISBANK,Axis Bank Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BEL,Bharat Electronics Ltd.
BHARTIARTL,Bharti Airtel Ltd.
CIPLA,Cipla Ltd.
COALINDIA,Coal India Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
EICHERMOT,Eicher Motors Ltd.
ETERNAL,Eternal Ltd.
GRASIM,Grasim Industries Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HINDALCO,Hindalco Industries Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
ICICIBANK,ICICI Bank Ltd.
ITC,ITC Ltd.
INFY,Infosys Ltd.
INDIGO,InterGlobe Aviation Ltd.
JSWSTEEL,JSW Steel Ltd.
JIOFIN,Jio Financial Services Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
LT,Larsen & Toubro Ltd.
M&M,Mahindra & Mahindra Ltd.
MARUTI,Maruti Suzuki India Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
NTPC,NTPC Ltd.
NESTLEIND,Nestle India Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
RELIANCE,Reliance Industries Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SHRIRAMFIN,Shriram Finance Ltd.
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TMPV,Tata Motors Passenger Vehicles Ltd.
TATASTEEL,Tata Steel Ltd.
TECHM,Tech Mahindra Ltd.
TITAN,Titan Company Ltd.
TRENT,Trent Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
WIPRO,Wipro Ltd.
